pid,author,year,title,dept,location,university,advisor,grad_date,type,thesis_url,project_id,educ_id
th_1,"Zoss, Angela M.",2018,"Network Visualization Literacy: Task, Context, and Layout","School of Informatics, Computing, and Engineering","Bloomington, IN",Indiana University,Dr. Katy Börner,May 2018,Doctoral dissertation,http://hdl.handle.net/2022/22117,prj_1,ed_1
th_2,"Zoss, Angela M.",2008,From Measure to Leisure: Extending Theory on Technology in the Workplace,Department of Communication,"Ithaca, NY",Cornell University,Dr. Geri Gay,May 2008,Master’s thesis,https://hdl.handle.net/1813/10736,,ed_2
